date,description,debit_account,debit_amount,credit_account,debit_amount
2024/5/1,Interest Received,KR10101-Toss Checking Account,328,KR70002-Interest Income,328
2024/5/2,Myothurin,KR60005-Personal Expenses,17500,KR10101-Toss Checking Account,17500
2024/5/2,Foreign Mart,KR60002-Food Expenses,9400,KR10101-Toss Checking Account,9400
2024/5/3,iCloud+,KR60005-Personal Expenses,8900,KR10101-Toss Checking Account,8900
2024/5/3,양꼬치 w 서진,KR60002-Food Expenses,30000,KR10101-Toss Checking Account,30000
2024/5/3,교통카드 충전,KR60004-Transportation Expenses,57275,KR10101-Toss Checking Account,57275
2024/5/4,Cashback,KR10101-Toss Checking Account,100,KR70001-Cashback Income,100
2024/5/4,CU,KR60005-Personal Expenses,5900,KR10101-Toss Checking Account,5900
2024/5/5,Pasta w Alua,KR60002-Food Expenses,22400,KR10101-Toss Checking Account,22400
2024/5/6,Coupang,KR60005-Personal Expenses,4990,KR10101-Toss Checking Account,4990
2024/5/6,Cashback,KR10101-Toss Checking Account,100,KR70001-Cashback Income,100
2024/5/7,Pasta w 재원,KR60002-Food Expenses,29750,KR10101-Toss Checking Account,29750
2024/5/7,Deposit,KR10101-Toss Checking Account,40000,KR10000-Cash,40000
2024/5/9,CU for 고건&식구,KR60002-Food Expenses,8500,KR10101-Toss Checking Account,8500
2024/5/9,총 4월 교통비,KR60004-Transportation Expenses,5800,KR10101-Toss Checking Account,5800
2024/5/9,Didimdol w Myothurin,KR10101-Toss Checking Account,50000,KR70004-Didimdol Income,50000
2024/5/9,Cashback,KR10101-Toss Checking Account,100,KR70001-Cashback Income,100
2024/5/10,Printing for 황희,KR60005-Personal Expenses,9840,KR10101-Toss Checking Account,9840
2024/5/11,Coupang,KR60002-Food Expenses,10710,KR10101-Toss Checking Account,10710
2024/5/11,Subway w Davy,KR60002-Food Expenses,15000,KR10101-Toss Checking Account,15000
2024/5/12,Funeral,KR60005-Personal Expenses,30000,KR10101-Toss Checking Account,30000
2024/5/12,Ivan,KR10101-Toss Checking Account,15000,KR30201-Friends Debt,15000
2024/5/12,Haiqal,KR10101-Toss Checking Account,15000,KR30201-Friends Debt,15000
2024/5/12,Haiqal,KR10101-Toss Checking Account,15000,KR30201-Friends Debt,15000
2024/5/12,Shunn Lae,KR10101-Toss Checking Account,15000,KR30201-Friends Debt,15000
2024/5/13,Shunn Lae,KR10101-Toss Checking Account,15000,KR30201-Friends Debt,15000
2024/5/13,Wise 1 1MYR@288.217KRW,KR10101-Toss Checking Account,84024,KR70005-Allowance Income,84024
2024/5/13,Cashback,KR10101-Toss Checking Account,100,KR70001-Cashback Income,100
2024/5/13,CU,KR60005-Personal Expenses,5600,KR10101-Toss Checking Account,5600
2024/5/14,Shunn Lae,KR30201-Friends Debt,15000,KR10101-Toss Checking Account,15000
2024/5/15,Cashback,KR10101-Toss Checking Account,500,KR70001-Cashback Income,500
2024/5/15,Bakso Rindu Kampung w Myothurin,KR60005-Personal Expenses,34000,KR10101-Toss Checking Account,34000
2024/5/15,Daiso w Myothurin,KR60005-Personal Expenses,16200,KR10101-Toss Checking Account,16200
2024/5/15,Holly’s w Myothurin,KR60005-Personal Expenses,11600,KR10101-Toss Checking Account,11600
2024/5/18,Coins,KR10000-Cash,1800,KR70001-Cashback Income,1800
2024/5/19,GS25,KR60002-Food Expenses,13550,KR10101-Toss Checking Account,13550
2024/5/20,Apple Music,KR60005-Personal Expenses,3300,KR10101-Toss Checking Account,3300
2024/5/23,재학증명서,KR60005-Personal Expenses,500,KR10101-Toss Checking Account,500
2024/5/25,Haiqal,KR10101-Toss Checking Account,15000,KR30201-Friends Debt,15000
2024/5/25,Ivan,KR10101-Toss Checking Account,15000,KR30201-Friends Debt,15000
2024/5/25,Ivan,KR10101-Toss Checking Account,15000,KR30201-Friends Debt,15000
2024/5/25,서동욱,KR10101-Toss Checking Account,15000,KR30201-Friends Debt,15000
2024/5/25,서동욱,KR10101-Toss Checking Account,15000,KR30201-Friends Debt,15000
2024/5/25,문서진,KR10101-Toss Checking Account,15000,KR30201-Friends Debt,15000
2024/5/25,문서진,KR10101-Toss Checking Account,15000,KR30201-Friends Debt,15000
2024/5/25,6월 Savings,KR10204-Emergency Savings,50000,KR10101-Toss Checking Account,50000
2024/5/27,Wise 2 1MYR@289.943KRW,KR10101-Toss Checking Account,440934,KR70005-Allowance Income,440934
2024/5/27,Rent,KR60001-Home Expenses,410000,KR10101-Toss Checking Account,410000
2024/5/27,서동욱,KR30201-Friends Debt,15000,KR10101-Toss Checking Account,15000
2024/5/27,문서진,KR30201-Friends Debt,15000,KR10101-Toss Checking Account,15000
2024/5/27,문서진,KR30201-Friends Debt,15000,KR10101-Toss Checking Account,15000
2024/5/27,Haiqal,KR30201-Friends Debt,30000,KR10101-Toss Checking Account,30000
2024/5/27,Wise 3 1MYR@290.202KRW,KR10101-Toss Checking Account,285521,KR70005-Allowance Income,285521
2024/5/29,Tisya,KR30201-Friends Debt,45000,KR10101-Toss Checking Account,45000
2024/5/29,Tisya ,KR10104-Shinhan Investment Account,50000,KR10101-Toss Checking Account,50000
2024/5/29,Transfer to Shinhan Invest,KR10104-Shinhan Investment Account,51500,KR10101-Toss Checking Account,51500
2024/5/29,"Buy 삼성전자 0.643298@₩77,600",KR10404-Pending Investments,49919,KR10404-Pending Investments,49919
2024/5/29,"Buy 삼성전자 0.643298@₩77,600",KR20002-Stocks,49919,KR10404-Pending Investments,49919
2024/5/29,"Buy 현대차 0.192369@₩259,500",KR20002-Stocks,49919,KR10404-Pending Investments,49919
2024/5/29,"Buy 현대차 0.192369@₩259,500",KR20002-Stocks,49919,KR10404-Pending Investments,49919
2024/5/29,Ivan,KR30201-Friends Debt,30000,KR10101-Toss Checking Account,30000
2024/5/29,6월 건강보혐료,KR60003-Healthcare Expenses,75580,KR10101-Toss Checking Account,75580
2024/5/29,삼겹살 w Seojin,KR60002-Food Expenses,31000,KR10101-Toss Checking Account,31000
2024/5/30,Interpreting Job,KR10403-Friends Receivable,120000,KR70006-Other Income,120000
2024/5/31,Wise 4 1MYR@294.432KRW,KR10101-Toss Checking Account,147608,KR70005-Allowance Income,147608
2024/5/31,Paying using KakaoPay,KR10105-Kakao Checking Account,10000,KR10101-Toss Checking Account,10000
2024/5/31,GS25 w Myothurin,KR60005-Personal Expenses,3770,KR10105-Kakao Checking Account,3770
2024/5/31,Transfer to Toss,KR10101-Toss Checking Account,6230,KR10105-Kakao Checking Account,6230
2024/5/31,5월 Samsung,KR10401-Samsung Receivable,557143,KR70003-Samsung Income,557143
2024/5/31,5월 Didimdol,KR10402-Didimdol Receivable,150000,KR70004-Didimdol Income,150000
2024/5/31,Paying using KakaoPay,KR10105-Kakao Checking Account,10000,KR10101-Toss Checking Account,10000
2024/5/31,GS25,KR60002-Food Expenses,4878,KR10105-Kakao Checking Account,4878
2024/5/31,Transfer to Toss,KR10101-Toss Checking Account,5122,KR10105-Kakao Checking Account,5122
2024/5/31,따릉이,KR60005-Personal Expenses,1000,KR10101-Toss Checking Account,1000
2024/5/31,GS25 w Myothurin,KR60005-Personal Expenses,7900,KR10101-Toss Checking Account,7900
2024/5/31,Cashback,KR10101-Toss Checking Account,100,KR70001-Cashback Income,100
2024/5/31,NaverPay Registration,KR10101-Toss Checking Account,1,KR70006-Other Income,1
2024/5/31,Phone Bill,KR60005-Personal Expenses,20000,KR10501-Phone Plan,20000
2024/6/1,Hana Registration on NaverPay,KR10102-Hana Checking Account,1,KR70006-Other Income,1
2024/6/1,5월 Interest,KR10101-Toss Checking Account,64,KR70002-Interest Income,64
2024/6/1,Transfer to KakaoPay ,KR10105-Kakao Checking Account,10000,KR10101-Toss Checking Account,10000
2024/6/1,BBQ Chicken transfer to Rin,KR60002-Food Expenses,9000,KR10105-Kakao Checking Account,9000
2024/6/1,Transfer to Toss ,KR10101-Toss Checking Account,1000,KR10105-Kakao Checking Account,1000
2024/6/1,Ace Bag & Scarf,KR60005-Personal Expenses,33000,KR10101-Toss Checking Account,33000
2024/6/1,Pride Shirt,KR60005-Personal Expenses,35000,KR10101-Toss Checking Account,35000
2024/6/1,따릉이 Refund,KR10101-Toss Checking Account,1000,KR60005-Personal Expenses,1000
2024/6/1,Transfer to KakaoPay ,KR10105-Kakao Checking Account,10000,KR10101-Toss Checking Account,10000
