date,description,debit_account,debit_amount,credit_account,debit_amount
2025/2/1,2월 Samsung,KR10401-Samsung Receivable,"950,000",KR70003-Samsung Income,"950,000"
2025/2/1,1월 Interest,KR10101-Toss Checking Account,77,KR70002-Interest Income,77
2025/2/1,이자,KR10213-Toss Emergency Fund Account,22,KR70006-Other Income,22
2025/2/1,이자,KR10214-Toss Preparation Fund Account,16,KR70006-Other Income,16
2025/2/1,이자,KR10213-Toss Emergency Fund Account,77,KR10101-Toss Checking Account,77
2025/2/2,이자,KR10213-Toss Emergency Fund Account,22,KR70006-Other Income,22
2025/2/2,이자,KR10214-Toss Preparation Fund Account,16,KR70006-Other Income,16
2025/2/2,Haircut,KR10101-Toss Checking Account,"7,000",KR10213-Toss Emergency Fund Account,"7,000"
2025/2/2,Transfer to Hana,KR10102-Hana Checking Account,"16,000",KR10101-Toss Checking Account,"16,000"
2025/2/2,Haircut,KR60005-Personal Expenses,"16,000",KR10102-Hana Checking Account,"16,000"
2025/2/3,이자,KR10213-Toss Emergency Fund Account,21,KR70006-Other Income,21
2025/2/3,이자,KR10214-Toss Preparation Fund Account,16,KR70006-Other Income,16
2025/2/3,1월 교통 신한,KR10101-Toss Checking Account,"3,000",KR10213-Toss Emergency Fund Account,"3,000"
2025/2/3,Transfer to Shinhan,KR10103-Shinhan Checking Account,"3,000",KR10101-Toss Checking Account,"3,000"
2025/2/3,Apple Subscription,KR10101-Toss Checking Account,"10,000",KR10213-Toss Emergency Fund Account,"10,000"
2025/2/3,Transfer to Kakao,KR10105-Kakao Checking Account,"10,000",KR10101-Toss Checking Account,"10,000"
2025/2/4,이자,KR10213-Toss Emergency Fund Account,21,KR70006-Other Income,21
2025/2/4,이자,KR10214-Toss Preparation Fund Account,16,KR70006-Other Income,16
2025/2/4,iCloud+,KR60005-Personal Expenses,"8,900",KR10105-Kakao Checking Account,"8,900"
2025/2/4,Macarons,KR10101-Toss Checking Account,"28,000",KR10213-Toss Emergency Fund Account,"28,000"
2025/2/4,Transfer to Hana,KR10102-Hana Checking Account,"28,000",KR10101-Toss Checking Account,"28,000"
2025/2/4,Macarons,KR60005-Personal Expenses,"28,000",KR10102-Hana Checking Account,"28,000"
2025/2/4,"Dinner w 현재, 재국",KR10101-Toss Checking Account,"150,000",KR10213-Toss Emergency Fund Account,"150,000"
2025/2/4,Transfer to Hana,KR10102-Hana Checking Account,"100,000",KR10101-Toss Checking Account,"100,000"
2025/2/4,"Dinner w 현재, 재국",KR60005-Personal Expenses,"69,000",KR10102-Hana Checking Account,"69,000"
2025/2/4,이디야 커피,KR60005-Personal Expenses,"16,000",KR10102-Hana Checking Account,"16,000"
2025/2/5,이자,KR10213-Toss Emergency Fund Account,11,KR70006-Other Income,11
2025/2/5,이자,KR10214-Toss Preparation Fund Account,16,KR70006-Other Income,16
2025/2/5,Transfer to Toss,KR10101-Toss Checking Account,"15,000",KR10102-Hana Checking Account,"15,000"
2025/2/5,Transfer to Kakao,KR10105-Kakao Checking Account,"10,000",KR10101-Toss Checking Account,"10,000"
2025/2/5,Tisya,KR10403-Friends Receivable,"5,000",KR10105-Kakao Checking Account,"5,000"
2025/2/5,Macarons,KR60005-Personal Expenses,"28,000",KR10101-Toss Checking Account,"28,000"
2025/2/5,채크카드 복권 당첨,KR10101-Toss Checking Account,1,KR70006-Other Income,1
2025/2/5,1월 교통 신한,KR30201-Friends Debt,"3,000",KR10103-Shinhan Checking Account,"3,000"
2025/2/5,Tisya,KR10105-Kakao Checking Account,"55,000",KR10403-Friends Receivable,"55,000"
2025/2/6,이자,KR10213-Toss Emergency Fund Account,11,KR70006-Other Income,11
2025/2/6,이자,KR10214-Toss Preparation Fund Account,16,KR70006-Other Income,16
2025/2/6,쿠팡 회원비,KR60005-Personal Expenses,"7,890",KR10101-Toss Checking Account,"7,890"
2025/2/7,이자,KR10213-Toss Emergency Fund Account,11,KR70006-Other Income,11
2025/2/7,이자,KR10214-Toss Preparation Fund Account,16,KR70006-Other Income,16
2025/2/7,Transfer to Toss,KR10101-Toss Checking Account,"61,100",KR10105-Kakao Checking Account,"61,100"
2025/2/7,Transfer to Shinhan,KR10103-Shinhan Checking Account,"20,000",KR10101-Toss Checking Account,"20,000"
2025/2/7,Transfer to Toss,KR10101-Toss Checking Account,"20,000",KR10103-Shinhan Checking Account,"20,000"
2025/2/7,Recharge,KR10213-Toss Emergency Fund Account,"57,209",KR10101-Toss Checking Account,"57,209"
2025/2/7,교통(디딤돌 면접),KR60004-Transportation Expenses,"3,000",KR30201-Friends Debt,"3,000"
2025/2/8,이자,KR10213-Toss Emergency Fund Account,14,KR70006-Other Income,14
2025/2/8,이자,KR10214-Toss Preparation Fund Account,16,KR70006-Other Income,16
2025/2/8,Cashback,KR10101-Toss Checking Account,100,KR70006-Other Income,100
2025/2/8,Bakery,KR60002-Food Expenses,"3,840",KR10101-Toss Checking Account,"3,840"
2025/2/8,GS25,KR60002-Food Expenses,"10,760",KR10101-Toss Checking Account,"10,760"
2025/2/8,Cashback,KR10101-Toss Checking Account,500,KR70006-Other Income,500
2025/2/8,채크카드 복권 당첨,KR10101-Toss Checking Account,2,KR70006-Other Income,2
2025/2/8,Cashback + 채크카드 복권 당첨,KR10213-Toss Emergency Fund Account,603,KR10101-Toss Checking Account,603
2025/2/9,이자,KR10213-Toss Emergency Fund Account,14,KR70006-Other Income,14
2025/2/9,이자,KR10214-Toss Preparation Fund Account,16,KR70006-Other Income,16
2025/2/9,GS25,KR60002-Food Expenses,"2,390",KR10101-Toss Checking Account,"2,390"
2025/2/9,채크카드 복권 당첨,KR10101-Toss Checking Account,1,KR70006-Other Income,1
2025/2/9,Cashback + 채크카드 복권 당첨,KR10213-Toss Emergency Fund Account,1,KR10101-Toss Checking Account,1
2025/2/9,교통비 + 쿠팡이츠,KR10101-Toss Checking Account,"40,491",KR10213-Toss Emergency Fund Account,"40,491"
2025/2/9,쿠팡이츠,KR60002-Food Expenses,"23,500",KR10101-Toss Checking Account,"23,500"
2025/2/9,채크카드 복권 당첨,KR10101-Toss Checking Account,3,KR70006-Other Income,3
2025/2/10,Cashback + 채크카드 복권 당첨,KR10213-Toss Emergency Fund Account,3,KR10101-Toss Checking Account,3
2025/2/10,이자,KR10213-Toss Emergency Fund Account,12,KR70006-Other Income,12
2025/2/10,이자,KR10214-Toss Preparation Fund Account,16,KR70006-Other Income,16
2025/2/10,1월 교통 토스,KR30201-Friends Debt,"23,300",KR10101-Toss Checking Account,"23,300"
2025/2/10,이디야 커피,KR10101-Toss Checking Account,"10,000",KR10213-Toss Emergency Fund Account,"10,000"
2025/2/10,이디야 커피,KR60002-Food Expenses,"9,800",KR10101-Toss Checking Account,"9,800"
2025/2/10,Cashback,KR10101-Toss Checking Account,100,KR70006-Other Income,100
2025/2/10,채크카드 복권 당첨,KR10101-Toss Checking Account,3,KR70006-Other Income,3
2025/2/11,Cashback + 채크카드 복권 당첨,KR10213-Toss Emergency Fund Account,103,KR10101-Toss Checking Account,103
2025/2/11,이자,KR10213-Toss Emergency Fund Account,11,KR70006-Other Income,11
2025/2/11,이자,KR10214-Toss Preparation Fund Account,16,KR70006-Other Income,16
2025/2/11,QJN TOPIK,KR10101-Toss Checking Account,"55,000",KR10213-Toss Emergency Fund Account,"55,000"
2025/2/11,QJN TOPIK,KR10403-Friends Receivable,"55,000",KR10101-Toss Checking Account,"55,000"
2025/2/11,이디야 커피,KR10101-Toss Checking Account,"10,000",KR10213-Toss Emergency Fund Account,"10,000"
2025/2/11,이디야 커피,KR60002-Food Expenses,"3,200",KR10101-Toss Checking Account,"3,200"
2025/2/11,Cashback,KR10101-Toss Checking Account,100,KR70006-Other Income,100
2025/2/11,이디야 커피,KR60002-Food Expenses,"3,500",KR10101-Toss Checking Account,"3,500"
2025/2/11,교통(명지전문대),KR60004-Transportation Expenses,"3,000",KR30201-Friends Debt,"3,000"
2025/2/12,이자,KR10213-Toss Emergency Fund Account,8,KR70006-Other Income,8
2025/2/12,이자,KR10214-Toss Preparation Fund Account,16,KR70006-Other Income,16
2025/2/12,Cashback,KR10101-Toss Checking Account,100,KR70006-Other Income,100
2025/2/12,쿠팡 (adapter),KR10101-Toss Checking Account,"8,300",KR10213-Toss Emergency Fund Account,"8,300"
2025/2/12,쿠팡 (adapter),KR60005-Personal Expenses,"12,000",KR10101-Toss Checking Account,"12,000"
2025/2/12,채크카드 복권 당첨,KR10101-Toss Checking Account,3,KR70006-Other Income,3
2025/2/12,채크카드 복권 당첨,KR10101-Toss Checking Account,2,KR70006-Other Income,2
2025/2/12,채크카드 복권 당첨,KR10101-Toss Checking Account,2,KR70006-Other Income,2
2025/2/13,이자,KR10213-Toss Emergency Fund Account,7,KR70006-Other Income,7
2025/2/13,이자,KR10214-Toss Preparation Fund Account,16,KR70006-Other Income,16
2025/2/13,빵,KR10101-Toss Checking Account,"20,000",KR10213-Toss Emergency Fund Account,"20,000"
2025/2/13,Ferrero Rocher,KR10101-Toss Checking Account,"20,000",KR10213-Toss Emergency Fund Account,"20,000"
2025/2/13,Ferrero Rocher,KR60002-Food Expenses,"26,700",KR10101-Toss Checking Account,"26,700"
2025/2/13,Cashback,KR10101-Toss Checking Account,500,KR70006-Other Income,500
2025/2/13,채크카드 복권 당첨,KR10101-Toss Checking Account,2,KR70006-Other Income,2
2025/2/13,빵,KR60002-Food Expenses,"6,880",KR10101-Toss Checking Account,"6,880"
2025/2/14,이자,KR10213-Toss Emergency Fund Account,5,KR70006-Other Income,5
2025/2/14,이자,KR10214-Toss Preparation Fund Account,16,KR70006-Other Income,16
2025/2/14,Tisya,KR10101-Toss Checking Account,"4,000",KR10213-Toss Emergency Fund Account,"4,000"
2025/2/14,Transfer to Kakao,KR10105-Kakao Checking Account,"10,000",KR10101-Toss Checking Account,"10,000"
2025/2/14,GS25,KR60002-Food Expenses,700,KR10101-Toss Checking Account,700
2025/2/14,빵,KR10101-Toss Checking Account,"10,000",KR10213-Toss Emergency Fund Account,"10,000"
2025/2/14,미소떡볶이,KR10101-Toss Checking Account,"10,000",KR10213-Toss Emergency Fund Account,"10,000"
2025/2/14,빵,KR60002-Food Expenses,"11,000",KR10101-Toss Checking Account,"11,000"
2025/2/14,KTX,KR10101-Toss Checking Account,"40,000",KR10213-Toss Emergency Fund Account,"40,000"
2025/2/14,KTX,KR60004-Transportation Expenses,"20,800",KR10101-Toss Checking Account,"20,800"
2025/2/14,KTX,KR10101-Toss Checking Account,"20,000",KR10213-Toss Emergency Fund Account,"20,000"
2025/2/14,KTX,KR60004-Transportation Expenses,"24,900",KR10101-Toss Checking Account,"24,900"
2025/2/14,채크카드 복권 당첨,KR10101-Toss Checking Account,3,KR70006-Other Income,3
2025/2/14,채크카드 복권 당첨,KR10101-Toss Checking Account,2,KR70006-Other Income,2
2025/2/14,채크카드 복권 당첨,KR10101-Toss Checking Account,3,KR70006-Other Income,3
2025/2/14,채크카드 복권 당첨,KR10101-Toss Checking Account,1,KR70006-Other Income,1
2025/2/14,채크카드 복권 당첨,KR10101-Toss Checking Account,2,KR70006-Other Income,2
2025/2/14,Cashback + 채크카드 복권 당첨 + Recharge,KR10213-Toss Emergency Fund Account,"20,720",KR10101-Toss Checking Account,"20,720"
2025/2/14,Tisya,KR10403-Friends Receivable,"5,000",KR10105-Kakao Checking Account,"5,000"
2025/2/14,Tisya,KR10403-Friends Receivable,"5,000",KR10105-Kakao Checking Account,"5,000"
