Date,Affected Accounts,Description,Debit,Credit,Debit,Credit,Debit,Credit
2024-05-01,KR10101-Toss Checking Account,Interest Received,328,,,,,
2024-05-01,KR70002-Interest Income,Interest Received,,328,,,,
2024-05-01,Total,Total,328,328,0.00,0.00,0.00,0.00
2024-05-02,KR10101-Toss Checking Account,Myothurin,,"17,500",,,,
2024-05-02,KR60005-Personal Expenses,Myothurin,"17,500",,,,,
2024-05-02,Total,Total,"17,500","17,500",0.00,0.00,0.00,0.00
2024-05-02,KR10101-Toss Checking Account,Foreign Mart,,"9,400",,,,
2024-05-02,KR60002-Food Expenses,Foreign Mart,"9,400",,,,,
2024-05-02,Total,Total,"9,400","9,400",0.00,0.00,0.00,0.00
2024-05-03,KR10101-Toss Checking Account,iCloud+,,"8,900",,,,
2024-05-03,KR60005-Personal Expenses,iCloud+,"8,900",,,,,
2024-05-03,Total,Total,"8,900","8,900",0.00,0.00,0.00,0.00
2024-05-03,KR10101-Toss Checking Account,양꼬치 w 서진,,"30,000",,,,
2024-05-03,KR60002-Food Expenses,양꼬치 w 서진,"30,000",,,,,
2024-05-03,Total,Total,"30,000","30,000",0.00,0.00,0.00,0.00
2024-05-03,KR10101-Toss Checking Account,교통카드 충전,,"57,275",,,,
2024-05-03,KR60004-Transportation Expenses,교통카드 충전,"57,275",,,,,
2024-05-03,Total,Total,"57,275","57,275",0.00,0.00,0.00,0.00
2024-05-04,KR10101-Toss Checking Account,Cashback,100,,,,,
2024-05-04,KR70001-Cashback Income,Cashback,,100,,,,
2024-05-04,Total,Total,100,100,0.00,0.00,0.00,0.00
2024-05-04,KR10101-Toss Checking Account,CU,,"5,900",,,,
2024-05-04,KR60005-Personal Expenses,CU,"5,900",,,,,
2024-05-04,Total,Total,"5,900","5,900",0.00,0.00,0.00,0.00
2024-05-04,KR10101-Toss Checking Account,Tisya,,"5,000",,,,
2024-05-04,KR30201-Friends Debt,Punishment,,"95,000",,,,
2024-05-04,KR60006-Punishment Expenses,Punishment,"100,000",,,,,
2024-05-04,Total,Total,"100,000","100,000",0.00,0.00,0.00,0.00
2024-05-05,KR10101-Toss Checking Account,Pasta w Alua,,"22,400",,,,
2024-05-05,KR60002-Food Expenses,Pasta w Alua,"22,400",,,,,
2024-05-05,Total,Total,"22,400","22,400",0.00,0.00,0.00,0.00
2024-05-06,KR10101-Toss Checking Account,Coupang,,"4,990",,,,
2024-05-06,KR60005-Personal Expenses,Coupang,"4,990",,,,,
2024-05-06,Total,Total,"4,990","4,990",0.00,0.00,0.00,0.00
2024-05-06,KR10101-Toss Checking Account,Cashback,100,,,,,
2024-05-06,KR70001-Cashback Income,Cashback,,100,,,,
2024-05-06,Total,Total,100,100,0.00,0.00,0.00,0.00
2024-05-07,KR10101-Toss Checking Account,Pasta w 재원,,"29,750",,,,
2024-05-07,KR60002-Food Expenses,Pasta w 재원,"29,750",,,,,
2024-05-07,Total,Total,"29,750","29,750",0.00,0.00,0.00,0.00
2024-05-07,KR10101-Toss Checking Account,Deposit,"40,000",,,,,
2024-05-07,KR10000-Cash,Deposit,,"40,000",,,,
2024-05-07,Total,Total,"40,000","40,000",0.00,0.00,0.00,0.00
2024-05-09,KR10101-Toss Checking Account,CU for 고건&식구,,"8,500",,,,
2024-05-09,KR60002-Food Expenses,CU for 고건&식구,"8,500",,,,,
2024-05-09,Total,Total,"8,500","8,500",0.00,0.00,0.00,0.00
2024-05-09,KR10101-Toss Checking Account,총 4월 교통비,,"5,800",,,,
2024-05-09,KR60004-Transportation Expenses,총 4월 교통비,"5,800",,,,,
2024-05-09,Total,Total,"5,800","5,800",0.00,0.00,0.00,0.00
2024-05-09,KR10101-Toss Checking Account,Didimdol w Myothurin,"50,000",,,,,
2024-05-09,KR70004-Didimdol Income,Didimdol w Myothurin,,"50,000",,,,
2024-05-09,Total,Total,"50,000","50,000",0.00,0.00,0.00,0.00
2024-05-09,KR10101-Toss Checking Account,Cashback,100,,,,,
2024-05-09,KR70001-Cashback Income,Cashback,,100,,,,
2024-05-09,Total,Total,100,100,0.00,0.00,0.00,0.00
2024-05-10,KR10101-Toss Checking Account,Printing for 황희,,"9,840",,,,
2024-05-10,KR60005-Personal Expenses,Printing for 황희,"9,840",,,,,
2024-05-10,Total,Total,"9,840","9,840",0.00,0.00,0.00,0.00
2024-05-11,KR10101-Toss Checking Account,Coupang,,"10,710",,,,
2024-05-11,KR60002-Food Expenses,Coupang,"10,710",,,,,
2024-05-11,Total,Total,"10,710","10,710",0.00,0.00,0.00,0.00
2024-05-11,KR10101-Toss Checking Account,Subway w Davy,,"15,000",,,,
2024-05-11,KR60002-Food Expenses,Subway w Davy,"15,000",,,,,
2024-05-11,Total,Total,"15,000","15,000",0.00,0.00,0.00,0.00
2024-05-12,KR10101-Toss Checking Account,Funeral,,"30,000",,,,
2024-05-12,KR60005-Personal Expenses,Funeral,"30,000",,,,,
2024-05-12,Total,Total,"30,000","30,000",0.00,0.00,0.00,0.00
2024-05-12,KR10101-Toss Checking Account,Ivan,"15,000",,,,,
2024-05-12,KR30201-Friends Debt,Ivan,,"15,000",,,,
2024-05-12,Total,Total,"15,000","15,000",0.00,0.00,0.00,0.00
2024-05-12,KR10101-Toss Checking Account,Haiqal,"15,000",,,,,
2024-05-12,KR30201-Friends Debt,Haiqal,,"15,000",,,,
2024-05-12,Total,Total,"15,000","15,000",0.00,0.00,0.00,0.00
2024-05-13,KR10101-Toss Checking Account,Shunn Lae,"15,000",,,,,
2024-05-13,KR30201-Friends Debt,Shunn Lae,,"15,000",,,,
2024-05-13,Total,Total,"15,000","15,000",0.00,0.00,0.00,0.00
2024-05-13,MY11101-Maybank Checking Account,Mama,,,300.00,,,
2024-05-13,MY71003-Allowance Income,Mama,,,,300.00,,
2024-05-13,Total,Total,0,0,300.00,300.00,0.00,0.00
