date,description,currency,transaction_id,debit_account,debit_amount,credit_account,credit_amount
2025-02-04,Macarons,KRW,0008c077-4874-5c18-9ee9-ee8fbadf55db,KR10101-Toss Checking Account,28000.0,KR10213-Toss Emergency Fund Account,28000.0
2025-09-24,9월 교통비,KRW,00190f84-4560-5cc2-ad6e-3c7e47b90f2f,KR60004-Transportation Expenses,3000.0,KR10103-Shinhan Checking Account,3000.0
2025-07-21,신한카드환불,KRW,001fa897-aabb-5dda-a94b-57caa90da807,KR10103-Shinhan Checking Account,2530.0,KR60005-Personal Expenses,2530.0
2025-07-03,Grab,KRW,003c700f-4d6a-5734-baa0-690adeea3bd8,KR60004-Transportation Expenses,9156.0,KR10105-Kakao Checking Account,9156.0
2025-02-23,교통(운동 모임),KRW,00431f61-b253-5fda-9bb6-27bb36ed4d29,KR60004-Transportation Expenses,1500.0,KR30201-Friends Debt,1500.0
2024-06-01,Transfer to Toss,KRW,0056b817-1a4a-5df2-9305-02f802304c14,KR10101-Toss Checking Account,1000.0,KR10105-Kakao Checking Account,1000.0
2025-05-11,Cashback,KRW,005e0ca1-0bca-50de-bfdf-ea1e1b68142e,KR10101-Toss Checking Account,100.0,KR70001-Cashback Income,100.0
2025-07-02,Grab,KRW,006a274a-49ff-5b03-90d3-ae3c1a7a4ca7,KR60004-Transportation Expenses,13564.0,KR10105-Kakao Checking Account,13564.0
2024-09-16,김삼보 w 문서진,KRW,006dd67b-1b26-50b1-95c0-8dd056e11631,KR60002-Food Expenses,11000.0,KR30201-Friends Debt,11000.0
2025-05-13,최운철,KRW,008bd063-f4b4-5985-9926-3596e7c5ce7e,KR60002-Food Expenses,5000.0,KR10101-Toss Checking Account,5000.0
2025-03-21,상하이 비행기표 (취소),KRW,009ca59a-0470-545f-b72a-47f78dc24804,KR10103-Shinhan Checking Account,132100.0,KR10403-Friends Receivable,132100.0
2024-11-05,마라탕 w Waralee,KRW,00a74b2d-65ed-582d-8410-a8dd574a2e5a,KR10403-Friends Receivable,6555.0,KR10101-Toss Checking Account,13110.0
2024-11-05,마라탕 w Waralee,KRW,00a74b2d-65ed-582d-8410-a8dd574a2e5a,KR60002-Food Expenses,6555.0,,0.0
2024-09-08,적금 해지,KRW,00b92c36-695a-54c4-b893-e44ff1d01891,KR10101-Toss Checking Account,10000.0,KR10203-Healthcare Savings,7549.0
2024-09-08,적금 해지,KRW,00b92c36-695a-54c4-b893-e44ff1d01891,,0.0,KR10204-Emergency Savings,842.0
2024-09-08,적금 해지,KRW,00b92c36-695a-54c4-b893-e44ff1d01891,,0.0,KR10206-Personal Savings,9.0
2024-09-08,적금 해지,KRW,00b92c36-695a-54c4-b893-e44ff1d01891,,0.0,KR10205-Transportation Savings,1600.0
2024-12-18,Cashback,KRW,00be480e-50a1-51b5-bc61-340609aeabf2,KR10101-Toss Checking Account,100.0,KR70001-Cashback Income,100.0
2025-01-30,SEA money,KRW,00c35a8a-0003-5352-ba9c-71aa03a4a9e0,KR10214-Toss Preparation Fund Account,42600.0,KR10101-Toss Checking Account,42600.0
2024-05-31,Paying using KakaoPay,KRW,00c7d6ff-c52e-54c5-a1f4-a1c059b76d9b,KR10105-Kakao Checking Account,10000.0,KR10101-Toss Checking Account,10000.0
2025-03-27,채크카드 복권 당첨,KRW,00d5da6c-af2b-5021-953b-a65e505bace4,KR10101-Toss Checking Account,11.0,KR70006-Other Income,11.0
2024-11-18,7Eleven,KRW,00e47e6f-84c3-517a-989c-f921a3769de7,KR60002-Food Expenses,10300.0,KR10101-Toss Checking Account,10300.0
2025-06-24,이자,KRW,00f1880a-b0b8-5473-9be3-db44db54bb15,KR10213-Toss Emergency Fund Account,8.0,KR70002-Interest Income,8.0
2024-05-29,Tisya,KRW,010b8ca5-b719-5bcb-9484-94969a1809fc,KR30201-Friends Debt,45000.0,,0.0
2025-09-12,Google Drive,KRW,012b1a45-a0be-5971-875d-647a96bc093b,KR60005-Personal Expenses,2500.0,KR10102-Hana Checking Account,2500.0
2025-08-19,재모식당,KRW,015852ae-7b14-54b5-bf5f-fa69939d8a37,KR60002-Food Expenses,5000.0,KR10000-Cash,5000.0
2025-01-16,이자,KRW,0169344d-0f83-5668-b36d-27945b3c4690,KR10213-Toss Emergency Fund Account,1.0,KR70006-Other Income,1.0
2025-02-10,이자,KRW,017eb204-cff5-53ba-a69a-246e0e8ae93d,KR10213-Toss Emergency Fund Account,12.0,KR70006-Other Income,12.0
2024-08-21,신촌연합동아리 행사 물품_알파,KRW,0197bcbc-df4f-54a3-a110-682e30d7bdcc,KR10403-Friends Receivable,22200.0,KR10101-Toss Checking Account,22200.0
2025-04-13,이자,KRW,019bfa1a-ab32-5880-bffd-88ccacf4b8fd,KR10213-Toss Emergency Fund Account,131.0,KR70002-Interest Income,131.0
2025-02-18,Cashback,KRW,01a77b5a-6206-58f3-a300-977ce54ea9f5,KR10101-Toss Checking Account,100.0,KR70006-Other Income,100.0
2025-03-03,채크카드 복권 당첨 (취소),KRW,01acdc68-fb61-5319-9654-39f2d239a61a,KR70006-Other Income,3.0,KR10101-Toss Checking Account,3.0
2025-04-20,Transfer to Toss,KRW,01bbf6b4-f5b1-5f18-a3dd-1e4549136ef6,KR10101-Toss Checking Account,40000.0,KR10213-Toss Emergency Fund Account,40000.0
2025-04-24,JUMP Didimdol Scholarship,KRW,01eb20ff-5896-5cd4-95ce-0314721b1dc4,KR10101-Toss Checking Account,300000.0,KR70004-Didimdol Income,300000.0
2024-12-04,교통(跟王学勤吃饭),KRW,021c81a8-aece-5213-be10-982b9772aa22,KR60004-Transportation Expenses,3000.0,KR30201-Friends Debt,3000.0
2025-04-01,4월 Prepaid Phone Plan,KRW,0230e7b1-5ce5-5bf7-b37c-1a3cca17eaf0,KR60005-Personal Expenses,17500.0,KR10501-Phone Plan,17500.0
2025-05-31,다이소,KRW,025ebe8b-4bb2-5407-84e4-86ea7956d1a7,KR60005-Personal Expenses,8000.0,KR10103-Shinhan Checking Account,8000.0
2025-06-19,투썸플레이스 for Ahmed,KRW,027ce5e5-7fc6-5485-8f44-9849e750f2f0,KR60005-Personal Expenses,5000.0,KR10102-Hana Checking Account,5000.0
2025-06-17,6월 교통비,KRW,027e608e-deaa-502b-85d8-42f9b1f5be5b,KR30201-Friends Debt,3600.0,KR10103-Shinhan Checking Account,3600.0
2025-02-11,교통(명지전문대),KRW,02c05f29-ab5f-5155-ba69-17229b775159,KR60004-Transportation Expenses,3000.0,KR30201-Friends Debt,3000.0
2024-09-23,Cashback,KRW,02c96351-50a9-53ba-857f-3d73620791a0,KR10101-Toss Checking Account,100.0,KR70001-Cashback Income,100.0
2025-08-08,이자,KRW,03028c53-7159-5bba-b526-47744149e7f9,KR10213-Toss Emergency Fund Account,50.0,KR70002-Interest Income,50.0
2024-11-06,물,KRW,0309e51f-1efd-5c3a-84a6-f58e69b63cbb,KR60002-Food Expenses,800.0,KR10101-Toss Checking Account,800.0
